release_month,observation_month,cylinder_size_kg,extreme_type,rank_within_block,state,zone,price_ngn,is_shared_extreme,raw_callout_text,tie_member_count,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-01-01,2025-01-01,5.0,HIGHEST,1,Taraba,North East,8120,FALSE,Taraba,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,50,2,B50
2025-01-01,2025-01-01,5.0,HIGHEST,2,Yobe,North East,7760,FALSE,Yobe,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,51,2,B51
2025-01-01,2025-01-01,5.0,HIGHEST,3,Plateau,North Central,7596.7970749999995,FALSE,Plateau,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,52,2,B52
2025-01-01,2025-01-01,5.0,LOWEST,1,Kebbi,North West,6397.5,FALSE,Kebbi,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,55,2,B55
2025-01-01,2025-01-01,5.0,LOWEST,2,Ondo,South West,6593.666666666681,FALSE,Ondo,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,56,2,B56
2025-01-01,2025-01-01,5.0,LOWEST,3,Delta,South South,6616,FALSE,Delta,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,57,2,B57
2025-01-01,2025-01-01,12.5,HIGHEST,1,Yobe,North East,19400,FALSE,Yobe,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,50,10,J50
2025-01-01,2025-01-01,12.5,HIGHEST,2,Plateau,North Central,18991.9926875,FALSE,Plateau,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,51,10,J51
2025-01-01,2025-01-01,12.5,HIGHEST,3,Rivers,South South,18761.1111111111,FALSE,Rivers,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,52,10,J52
2025-01-01,2025-01-01,12.5,LOWEST,1,Nasarawa,North Central,15880,FALSE,Nasarawa,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,55,10,J55
2025-01-01,2025-01-01,12.5,LOWEST,2,Kebbi,North West,15993.75,FALSE,Kebbi,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,56,10,J56
2025-01-01,2025-01-01,12.5,LOWEST,3,Lagos,South West,16166.666666666666,FALSE,Lagos,1,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,57,10,J57
2025-02-01,2025-02-01,5.0,HIGHEST,1,Taraba,North East,8250,FALSE,Taraba,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,50,2,B50
2025-02-01,2025-02-01,5.0,HIGHEST,2,Yobe,North East,7800,FALSE,Yobe,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,51,2,B51
2025-02-01,2025-02-01,5.0,HIGHEST,3,Lagos,South West,7630,FALSE,Lagos,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,52,2,B52
2025-02-01,2025-02-01,5.0,LOWEST,1,Kebbi,North West,6500,FALSE,Kebbi,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,55,2,B55
2025-02-01,2025-02-01,5.0,LOWEST,2,Niger,North Central,6580,FALSE,Niger,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,56,2,B56
2025-02-01,2025-02-01,5.0,LOWEST,3,Zamfara,North West,6600,FALSE,Zamfara,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,57,2,B57
2025-02-01,2025-02-01,12.5,HIGHEST,1,Yobe,North East,19000,FALSE,Yobe,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,50,10,J50
2025-02-01,2025-02-01,12.5,HIGHEST,2,Rivers,South South,18861.1111111111,FALSE,Rivers,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,51,10,J51
2025-02-01,2025-02-01,12.5,HIGHEST,3,Anambra,South East,18751.875,FALSE,Anambra,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,52,10,J52
2025-02-01,2025-02-01,12.5,LOWEST,1,Lagos,South West,15750,FALSE,Lagos,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,55,10,J55
2025-02-01,2025-02-01,12.5,LOWEST,2,Kebbi,North West,16250,TRUE,Kebbi/Nasarawa,2,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,56,10,J56
2025-02-01,2025-02-01,12.5,LOWEST,2,Nasarawa,North Central,16250,TRUE,Kebbi/Nasarawa,2,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,56,10,J56
2025-02-01,2025-02-01,12.5,LOWEST,3,Abia,South East,16299.863175,FALSE,Abia,1,GAS_PRICE_WATCH_FEB_2025.xlsx,,LPG FEB 2025,57,10,J57
2025-03-01,2025-03-01,5.0,HIGHEST,1,Sokoto,North West,8157.380000000001,FALSE,Sokoto,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,50,2,B50
2025-03-01,2025-03-01,5.0,HIGHEST,2,Rivers,South South,8085.9177777778,FALSE,Rivers,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,51,2,B51
2025-03-01,2025-03-01,5.0,HIGHEST,3,Taraba,North East,8056.75,FALSE,Taraba,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,52,2,B52
2025-03-01,2025-03-01,5.0,LOWEST,1,Kebbi,North West,6336.280000000001,FALSE,Kebbi,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,55,2,B55
2025-03-01,2025-03-01,5.0,LOWEST,2,Oyo,South West,6684.30857142856,FALSE,Oyo,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,56,2,B56
2025-03-01,2025-03-01,5.0,LOWEST,3,Kwara,North Central,6728.088,FALSE,Kwara,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,57,2,B57
2025-03-01,2025-03-01,12.5,HIGHEST,1,Rivers,South South,20964.7944444445,FALSE,Rivers,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,50,10,J50
2025-03-01,2025-03-01,12.5,HIGHEST,2,Cross River,South South,20934.225,FALSE,Cross River,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,51,10,J51
2025-03-01,2025-03-01,12.5,HIGHEST,3,Akwa Ibom,South South,20623.8,FALSE,Akwa Ibom,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,52,10,J52
2025-03-01,2025-03-01,12.5,LOWEST,1,Nasarawa,North Central,15661.3042862968,FALSE,Nasarawa,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,55,10,J55
2025-03-01,2025-03-01,12.5,LOWEST,2,Kebbi,North West,15840.7,FALSE,Kebbi,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,56,10,J56
2025-03-01,2025-03-01,12.5,LOWEST,3,Oyo,South West,16710.7714285714,FALSE,Oyo,1,GAS_PRICE_WATCH_MARCH_2025.xlsx,,LPG MAR 2025,57,10,J57
2025-04-01,2025-04-01,5.0,HIGHEST,1,Rivers,South South,9103.8243,FALSE,Rivers,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,51,2,B51
2025-04-01,2025-04-01,5.0,HIGHEST,2,Ebonyi,South East,8867.23582584,FALSE,Ebonyi,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,52,2,B52
2025-04-01,2025-04-01,5.0,HIGHEST,3,Akwa Ibom,South South,8655.593700000001,FALSE,Akwa Ibom,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,53,2,B53
2025-04-01,2025-04-01,5.0,LOWEST,1,Niger,North Central,7006.14595354856,FALSE,Niger,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,56,2,B56
2025-04-01,2025-04-01,5.0,LOWEST,2,Plateau,North Central,7014.86719299856,FALSE,Plateau,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,57,2,B57
2025-04-01,2025-04-01,5.0,LOWEST,3,Kebbi,North West,7032.1088,FALSE,Kebbi,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,58,2,B58
2025-04-01,2025-04-01,12.5,HIGHEST,1,Imo,South East,22938.7339333333,FALSE,Imo,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,51,10,J51
2025-04-01,2025-04-01,12.5,HIGHEST,2,Delta,South South,22831.7013333333,FALSE,Delta,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,52,10,J52
2025-04-01,2025-04-01,12.5,HIGHEST,3,Rivers,South South,22759.56075,FALSE,Rivers,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,53,10,J53
2025-04-01,2025-04-01,12.5,LOWEST,1,Kebbi,North West,18080.272,FALSE,Kebbi,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,56,10,J56
2025-04-01,2025-04-01,12.5,LOWEST,2,Nasarawa,North Central,18106.846826214,FALSE,Nasarawa,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,57,10,J57
2025-04-01,2025-04-01,12.5,LOWEST,3,Kwara,North Central,18173.673210055,FALSE,Kwara,1,GAS_PRICE_WATCH_APRIL_2025.xlsx,,LPG APR 2025,58,10,J58
2025-05-01,2025-05-01,5.0,HIGHEST,1,Abia,South East,9181.20364828692,FALSE,Abia,1,GAS_PRICE_WATCH_May_2025.xlsx,,LPG MAY 2025,50,2,B50
2025-05-01,2025-05-01,5.0,HIGHEST,2,Ebonyi,South East,9177.321199716,FALSE,Ebonyi,1,GAS_PRICE_WATCH_May_2025.xlsx,,LPG MAY 2025,51,2,B51
2025-05-01,2025-05-01,5.0,HIGHEST,3,Rivers,South South,9174.397944999999,FALSE,Rivers,1,GAS_PRICE_WATCH_May_2025.xlsx,,LPG MAY 2025,52,2,B52
2025-05-01,2025-05-01,5.0,LOWEST,1,Oyo,South West,7116.49073428572,FALSE,Oyo,1,GAS_PRICE_WATCH_May_2025.xlsx,,LPG MAY 2025,55,2,B55
2025-05-01,2025-05-01,5.0,LOWEST,2,Niger,North Central,7142.06784658084,FALSE,Niger,1,GAS_PRICE_WATCH_May_2025.xlsx,,LPG MAY 2025,56,2,B56
2025-05-01,2025-05-01,5.0,LOWEST,3,Plateau,North Central,7177.09727194836,FALSE,Plateau,1,GAS_PRICE_WATCH_May_2025.xlsx,,LPG MAY 2025,57,2,B57
2025-05-01,2025-05-01,12.5,HIGHEST,1,Delta,South South,23356.4565333333,FALSE,Delta,1,GAS_PRICE_WATCH_May_2025.xlsx,,LPG MAY 2025,50,10,J50
2025-05-01,2025-05-01,12.5,HIGHEST,2,Abia,South East,22953.0091207173,FALSE,Abia,1,GAS_PRICE_WATCH_May_2025.xlsx,,LPG MAY 2025,51,10,J51
2025-05-01,2025-05-01,12.5,HIGHEST,3,Ebonyi,South East,22943.30299929,FALSE,Ebonyi,1,GAS_PRICE_WATCH_May_2025.xlsx,,LPG MAY 2025,52,10,J52
